dataset_type,dataset_shuffle,k_folds_splits,k_folds_stratified,knn_k_neighbours,knn_voting_type,knn_metric,f_score
iris,False,5,True,2,custom,euclidean,0.9336502277678749
iris,False,5,True,2,custom,manhattan,0.9533286661999533
iris,False,5,True,2,custom,chebyshev,0.9203802733214498
iris,False,5,True,3,uniform,euclidean,0.9533286661999533
iris,False,5,True,3,uniform,manhattan,0.9533286661999534
iris,False,5,True,3,uniform,chebyshev,0.9402837902837903
iris,False,5,True,3,distance,euclidean,0.9533286661999533
iris,False,5,True,3,distance,manhattan,0.9533286661999534
iris,False,5,True,3,distance,chebyshev,0.9402837902837903
iris,False,5,True,3,custom,euclidean,0.9399459513562206
iris,False,5,True,3,custom,manhattan,0.9533286661999534
iris,False,5,True,3,custom,chebyshev,0.9269040909526095
iris,False,5,True,4,uniform,euclidean,0.9532163742690059
iris,False,5,True,4,uniform,manhattan,0.9532912954992826
iris,False,5,True,4,uniform,chebyshev,0.9267619688441388
iris,False,5,True,4,distance,euclidean,0.9533286661999533
iris,False,5,True,4,distance,manhattan,0.9466666666666667
iris,False,5,True,4,distance,chebyshev,0.9469369881741017
iris,False,5,True,4,custom,euclidean,0.9599839935974389
iris,False,5,True,4,custom,manhattan,0.9599839935974389
iris,False,5,True,4,custom,chebyshev,0.9137454726913812
iris,False,5,True,5,uniform,euclidean,0.96
iris,False,5,True,5,uniform,manhattan,0.9466666666666667
iris,False,5,True,5,uniform,chebyshev,0.9402958986870221
iris,False,5,True,5,distance,euclidean,0.96
iris,False,5,True,5,distance,manhattan,0.9466666666666667
iris,False,5,True,5,distance,chebyshev,0.9535711116848428
iris,False,5,True,5,custom,euclidean,0.96
iris,False,5,True,5,custom,manhattan,0.9466666666666667
iris,False,5,True,5,custom,chebyshev,0.9402958986870221
iris,False,5,True,6,uniform,euclidean,0.9666366396423447
iris,False,5,True,6,uniform,manhattan,0.9532912954992826
iris,False,5,True,6,uniform,chebyshev,0.9402958986870221
iris,False,5,True,6,distance,euclidean,0.9666633329999667
iris,False,5,True,6,distance,manhattan,0.9466666666666667
iris,False,5,True,6,distance,chebyshev,0.9535711116848428
iris,False,5,True,6,custom,euclidean,0.9666633329999667
iris,False,5,True,6,custom,manhattan,0.9599839935974389
iris,False,5,True,6,custom,chebyshev,0.926996032936627
iris,False,5,True,7,uniform,euclidean,0.9533286661999533
iris,False,5,True,7,uniform,manhattan,0.9599839935974389
iris,False,5,True,7,uniform,chebyshev,0.9469201822142997
iris,False,5,True,7,distance,euclidean,0.96
iris,False,5,True,7,distance,manhattan,0.9533286661999534
iris,False,5,True,7,distance,chebyshev,0.9469201822142997
iris,False,5,True,7,custom,euclidean,0.9533286661999533
iris,False,5,True,7,custom,manhattan,0.9599839935974389
iris,False,5,True,7,custom,chebyshev,0.9336538795301682
iris,False,5,True,8,uniform,euclidean,0.9665831244778613
iris,False,5,True,8,uniform,manhattan,0.9532912954992826
iris,False,5,True,8,uniform,chebyshev,0.9535711116848428
iris,False,5,True,8,distance,euclidean,0.9666633329999667
iris,False,5,True,8,distance,manhattan,0.9466666666666667
iris,False,5,True,8,distance,chebyshev,0.9469201822142997
iris,False,5,True,8,custom,euclidean,0.9599358974358975
iris,False,5,True,8,custom,manhattan,0.9533286661999533
iris,False,5,True,8,custom,chebyshev,0.9468640197353069
